"Site","Country","Site_identifier","Site_code_2","Site_name","Type_1","Type_2","Site_block","s3","cd1","cy2","dis3","dis4","life1","life2","wnb2","wnb3","wnb5"
8,"RO","RO_ARG_PAIR_FBF","R1","ARG","FBF","PAIR","ARG_PAIR",2.63434343434343,2.98989898989899,1.49292929292929,1.32222222222222,1.33333333333333,2.6969696969697,0.297979797979798,1.8030303030303,0.893939393939394,0.303030303030303
9,"RO","RO_BRI_PAIR_UBF","I2","BRI","UBF","PAIR","BRI_PAIR",2.78322625346435,2.94560972537163,1.98592214663643,1.30357142857143,2.19825522801713,2.65939153439153,0.305886243386243,1.0515873015873,1.64285714285714,0.305555555555556
10,"RO","RO_BRI_PAIR_FBF","R2","BRI","FBF","PAIR","BRI_PAIR",2.68302775655717,2.89674051438757,1.90737203972498,1.11096256684492,2.20289024700789,2.47855227882038,0.464477211796247,0.914438502673797,1.62433155080214,0.461229946524064
11,"RO","RO_BRA_PAIR_UBF","I3","BRA","UBF","PAIR","BRA_PAIR",2.69992565637594,2.94739210392456,1.56117697695348,1.05834018077239,1.77088468912627,2.60214168039539,0.406301482701812,1.67625308134758,0.907148726376335,0.414133114215283
12,"RO","RO_BRA_PAIR_FBF","R3","BRA","FBF","PAIR","BRA_PAIR",2.32312925170068,2.98639455782313,1.85660580021482,1.2781954887218,2.03150733977802,2.43396226415094,0.566981132075472,1.19548872180451,1.17293233082707,0.631578947368421
14,"RO","RO_SLA_PAIR_FBF","R4","SLA","FBF","PAIR","SLA_PAIR",2.71428571428571,2.94915254237288,2.14588377723971,1.90799031476998,1.30992736077482,2.65859564164649,0.312348668280872,2.4406779661017,0.217917675544794,0.341404358353511
15,"RO","RO_BUG_PAIR_UBF","I5","BUG","UBF","PAIR","BUG_PAIR",2.63636363636364,2.94728800611154,1.96695951107716,1.84491978609626,1.32238349885409,2.63789152024446,0.328342245989305,2.28265851795264,0.330022918258212,0.387318563789152
16,"RO","RO_BUG_PAIR_FBF","R5","BUG","FBF","PAIR","BUG_PAIR",2.69272237196766,2.96361185983828,1.9127358490566,1.93396226415094,1.18059299191375,2.91644204851752,0.0557951482479784,2.45013477088949,0.46900269541779,0.0808625336927224
17,"RO","RO_COB_PAIR_UBF","I6","COB","UBF","PAIR","COB_PAIR",1.77313432835821,2.9910447761194,1.70223880597015,2.81194029850746,1.08358208955224,2.89253731343284,0.100298507462687,2.83880597014925,0.0537313432835821,0.107462686567164
18,"RO","RO_COB_PAIR_FBF","R6","COB","FBF","PAIR","COB_PAIR",2.75757575757576,3,2.51515151515151,2.75757575757576,1,3,0,2.81818181818182,0.181818181818182,0
19,"RO","RO_POT_PAIR_UBF","I7","POT","UBF","PAIR","POT_PAIR",1.77389024500497,2.98616761594793,1.66863303498779,2.42934635204774,1.30756712774614,2.60699755899105,0.39115812313534,2.38405207485761,0.196094385679414,0.419853539462978
20,"RO","RO_POT_PAIR_FBF","R7","POT","FBF","PAIR","POT_PAIR",1.96829954954955,2.96959459459459,1.90777027027027,2.14814189189189,1.5152027027027,2.27195945945946,0.710472972972973,2.01182432432432,0.248310810810811,0.739864864864865
21,"RO","RO_STR_PAIR_UBF","I8","STR","UBF","PAIR","STR_PAIR",2.1304347826087,2.47826086956522,1.47826086956522,0.739130434782609,1.60869565217391,1.95652173913044,0.88695652173913,2.47826086956522,0,0.521739130434783
22,"RO","RO_STR_PAIR_FBF","R8","STR","FBF","PAIR","STR_PAIR",0.122448979591837,0.122448979591837,1.23979591836735,0.0408163265306122,2.91836734693878,0.122448979591837,0.575510204081633,0.122448979591837,0,2.87755102040816
23,"RO","RO_POA_PAIR_UBF","I9","POA","UBF","PAIR","POA_PAIR",2.34365008313083,2.83132966705035,2.15518821673701,2.14771709937332,1.34895766722087,2.48387096774194,0.412724014336918,2.34467323187108,0.0456580125335721,0.606982990152193
24,"RO","RO_POA_PAIR_FBF","R9","POA","FBF","PAIR","POA_PAIR",2.08290378006873,2.94974226804124,2.06954160530191,1.74852724594993,1.70360824742268,2.12435233160622,0.991450777202073,1.35309278350515,0.34020618556701,1.30670103092784
25,"RO","RO_ALB_PAIR_UBF","I10","ALB","UBF","PAIR","ALB_PAIR",2.44147465437788,3,1.26175115207373,1.77603686635945,1.04608294930876,2.97235023041475,0.0276497695852535,2.86175115207373,0.110599078341014,0.0276497695852535
26,"RO","RO_ALB_PAIR_FBF","R10","ALB","FBF","PAIR","ALB_PAIR",2.74390243902439,3,1.57317073170732,1.48780487804878,1.30894308943089,2.7479674796748,0.25609756097561,2.29268292682927,0.463414634146341,0.24390243902439
