"Site_no","Country","Taxa_code","Genus_family","Site_name","Type_1","Type_2","Site_block","Group","Mode","EPA","Ratio_EPA_LNA","EPA_perc","Spider_body_size","s3","cd1","dis4","wnb3","Insect_perc","Insect_m2","EPT_perc","EPT_m2","Chironomid_perc","Chironomid_m2","chl_a_m2_day","Width","Riparian_PC1","Riparian_RCI","Catchment_PC1","DHA","LNA","ALA","DHA_perc","LNA_perc","ALA_perc","EPA_ALA_ratio","dis3","Body_Size"
1,"BE","Agel","Agelenidae","LDS_LDS","LDS","LDS","DOR_LDS","Arachnida","Web",1.453558644,0.0364659764578481,0.453186094352778,5.46164147966667,0.153196922981096,1.06278613472858,0.169391759319817,0.0804447351209941,6.79738562091503,277.333333333333,4.2483660130719,173.333333333333,0.588235294117647,24,0.0298611111111111,0.966,-0.145447286155679,44,0.309111315588681,0.055948949,39.8606807,0.540340069,0.0174435932014951,12.4276418287229,0.168465583761078,2.69008116812451,0.0428384565075213,7.331
1,"BE","Liny","Linyphiidae","LDS_LDS","LDS","LDS","DOR_LDS","Arachnida","Web",2.628478874,0.0821218062696652,1.05873703256203,5.46164147966667,0.153196922981096,1.06278613472858,0.169391759319817,0.0804447351209941,6.79738562091503,277.333333333333,4.2483660130719,173.333333333333,0.588235294117647,24,0.0298611111111111,0.966,-0.145447286155679,44,0.309111315588681,0.25432712,32.00707575,0.750690618,0.102441584367419,12.8922764933523,0.30237410889439,3.50141431233393,0.0428384565075213,2.35875
1,"BE","Lyco","Lycosidae","LDS_LDS","LDS","LDS","DOR_LDS","Arachnida","Ground",1.654553731,0.102048484795711,1.00386344385337,5.46164147966667,0.153196922981096,1.06278613472858,0.169391759319817,0.0804447351209941,6.79738562091503,277.333333333333,4.2483660130719,173.333333333333,0.588235294117647,24,0.0298611111111111,0.966,-0.145447286155679,44,0.309111315588681,0.07415305,16.21340811,0.478679457,0.0449907033845556,9.83712248019143,0.290428046670598,3.45649621433409,0.0428384565075213,7.147
1,"BE","Pisa","Pisauridae","LDS_LDS","LDS","LDS","DOR_LDS","Arachnida","Ground",0.584743489,0.0185701819887428,0.204142918930272,5.46164147966667,0.153196922981096,1.06278613472858,0.169391759319817,0.0804447351209941,6.79738562091503,277.333333333333,4.2483660130719,173.333333333333,0.588235294117647,24,0.0298611111111111,0.966,-0.145447286155679,44,0.309111315588681,0.273977788,31.48830148,0.283969043,0.0956498471834703,10.9930489132537,0.0991379475177977,2.05918040509789,0.0428384565075213,12.5
1,"BE","Tetr","Tetragnathidae","LDS_LDS","LDS","LDS","DOR_LDS","Arachnida","Web",1.915334576,0.0710900262205704,0.83557329984968,5.46164147966667,0.153196922981096,1.06278613472858,0.169391759319817,0.0804447351209941,6.79738562091503,277.333333333333,4.2483660130719,173.333333333333,0.588235294117647,24,0.0298611111111111,0.966,-0.145447286155679,44,0.309111315588681,0.101066685,26.94238106,0.370885913,0.044090794657235,11.7537345851745,0.161800643123341,5.16421494822317,0.0428384565075213,6.476666667
1,"NO","Liny","Linyphiidae","FOR_FOR","FOR","FOR","AKE_FOR","Arachnida","Web",2.23061697,0.242326636728087,3.07630349766025,6.96418181827273,2.41198796535584,2.67051342439943,1.66859495211179,0.551813471502591,92.0096852300242,4053.33333333333,53.2687651331719,2346.66666666667,24.6973365617433,1088,0.207834757834758,11.3666666666667,0.713646670517453,49,-1.55422099884326,0.088009221,9.205001151,0.253198899,0.121375869559826,12.6948631780506,0.349193370745953,8.80974198075008,1.08712065136936,2.35875
1,"NO","Lyco","Lycosidae","FOR_FOR","FOR","FOR","AKE_FOR","Arachnida","Ground",5.560341361,0.242812885015338,2.35725929525025,6.96418181827273,2.41198796535584,2.67051342439943,1.66859495211179,0.551813471502591,92.0096852300242,4053.33333333333,53.2687651331719,2346.66666666667,24.6973365617433,1088,0.207834757834758,11.3666666666667,0.713646670517453,49,-1.55422099884326,0.143044796,22.89969645,0.541083399,0.0606426212198477,9.70813099601918,0.229387692047914,10.276311140346,1.08712065136936,7.147
1,"NO","OP","Opiliones","FOR_FOR","FOR","FOR","AKE_FOR","Arachnida","Ground",2.375898705,0.158114658143002,1.89717595186355,6.96418181827273,2.41198796535584,2.67051342439943,1.66859495211179,0.551813471502591,92.0096852300242,4053.33333333333,53.2687651331719,2346.66666666667,24.6973365617433,1088,0.207834757834758,11.3666666666667,0.713646670517453,49,-1.55422099884326,0.092938,15.02642913,0.373540422,0.0742118080384638,11.9987354375943,0.298275302804781,6.3604862153312,1.08712065136936,3.7
1,"NO","Tetr","Tetragnathidae","FOR_FOR","FOR","FOR","AKE_FOR","Arachnida","Web",0.923092082,0.106882142070424,0.681857425703456,6.96418181827273,2.41198796535584,2.67051342439943,1.66859495211179,0.551813471502591,92.0096852300242,4053.33333333333,53.2687651331719,2346.66666666667,24.6973365617433,1088,0.207834757834758,11.3666666666667,0.713646670517453,49,-1.55422099884326,0.180515495,8.636541747,0.228898893,0.133340793535574,6.37952620049648,0.169080000761344,4.03275031129137,1.08712065136936,6.476666667
1,"RO","Lyco","Lycosidae","FOR_FOR","FOR","FOR","ARG_FOR","Arachnida","Ground",3.444878879,0.383391223197674,4.37368414193935,6.39031944445833,2.04572510822511,2.68520021645022,2.27538780663781,1.50568181818182,99.5192307692308,1656,85.4166666666667,1421.33333333333,6.08974358974359,101.333333333333,1.0864247311828,3.43333333333333,0.0264336092641603,51,0.184594376855116,0.05837431,8.985283623,0.339354144,0.0741131409583157,11.4078880196073,0.430850514705194,10.1512798352626,0.731060606060606,7.147
1,"RO","OP","Opiliones","FOR_FOR","FOR","FOR","ARG_FOR","Arachnida","Ground",1.358168231,0.0698121653536205,0.530967071877827,6.39031944445833,2.04572510822511,2.68520021645022,2.27538780663781,1.50568181818182,99.5192307692308,1656,85.4166666666667,1421.33333333333,6.08974358974359,101.333333333333,1.0864247311828,3.43333333333333,0.0264336092641603,51,0.184594376855116,0.046274183,19.45460686,0.663922703,0.0180905920858995,7.60565252758329,0.259556279935635,2.04567222187611,0.731060606060606,3.7
10,"BE","Agel","Agelenidae","PAIR_FBF","FBF","PAIR","MOZ_PAIR","Arachnida","Web",0.329538967,0.0226820627756695,0.143852738194636,4.74873998904167,1.13204610466095,1.79111980481238,0.696680969207471,0.169611307420495,47.6190476190476,773.333333333333,0,0,46.9622331691297,762.666666666667,0.0213888888888889,1.962,-0.068125085977757,44.5,0.538674046342171,0.260841599,14.52861542,0.841550487,0.113864465233992,6.34213649866727,0.367359717686981,0.391585498541812,0.499558303886926,7.331
10,"BE","Aran","Araneidae","PAIR_FBF","FBF","PAIR","MOZ_PAIR","Arachnida","Web",0.386564547,0.01327821617365,0.14377119623468,4.74873998904167,1.13204610466095,1.79111980481238,0.696680969207471,0.169611307420495,47.6190476190476,773.333333333333,0,0,46.9622331691297,762.666666666667,0.0213888888888889,1.962,-0.068125085977757,44.5,0.538674046342171,0.302148837,29.11268667,0.324796207,0.112375281369006,10.8275987041081,0.120798297658882,1.19017568145431,0.499558303886926,7.346363636
