Genus_family,Country,Taxa_code,Type_1,Type_2,Site_block,Site_no,Site_name,Group,Mode,Lowest_level,Tribe,Ratio_DHA_LNA,Ratio_EPA_LNA,Ratio_EPA_ALA,EPA_perc,DHA_perc,LNA_perc,ALA_perc,chl_a_m2_day,Riparian_PC1,Catchment_PC1
Araneidae,BE,Aran,FOR,FOR,SAS_LDS,33,SAS_FOR,Arachnida,Web,Araneidae,NA,0.004626998,0.059963213,2.999030871,0.665080204,0.051320209,11.09147043,0.221765041,NA,0.186537926,-0.503234265
Araneidae,BE,Aran,FOR,FOR,ROO_LDS,34,ROO_LDS,Arachnida,Web,Araneidae,NA,0.003102737,0.03028739,1.91512357,0.389708905,0.039923028,12.86703512,0.203490214,NA,0.066417361,0.039459813
Araneidae,BE,Aran,UBF,PAIR,KOU_PAIR,32,KOU_UBF,Arachnida,Web,Araneidae,NA,0.00383251,0.016962942,1.472506904,0.269703388,0.060935243,15.89956408,0.183159337,0.012222222,-0.875981994,0.956547
Araneidae,BE,Aran,UBF,PAIR,MOL_PAIR,24,MOL_UBF,Arachnida,Web,Araneidae,NA,0.001881337,0.024712945,1.839357132,0.422444919,0.032159717,17.09407444,0.229669873,0.023194444,-0.898796159,0.479865666
Araneidae,BE,Aran,UBF,PAIR,MOZ_PAIR,31,MOZ_UBF,Arachnida,Web,Araneidae,NA,0.01167079,0.03600843,2.397539612,0.430375775,0.139490263,11.95208372,0.179507263,0.443333333,-0.789196634,0.544535481
Araneidae,BE,Aran,UBF,PAIR,ROO_PAIR,27,ROO_UBF,Arachnida,Web,Araneidae,NA,0.003396506,0.032305436,2.74564856,0.403537272,0.042426809,12.49131159,0.146973388,0.017083333,-1.031147484,0.855354748
Araneidae,BE,Aran,UBF,PAIR,SLI_PAIR,26,SLI_UBF,Arachnida,Web,Araneidae,NA,0.041158773,0.093835478,1.803447167,0.516293924,0.226460448,5.502118532,0.286281702,0.022222222,-0.676931413,0.489382763
Araneidae,BE,Aran,FBF,PAIR,KOU_PAIR,11,KOU_FBF,Arachnida,Web,Araneidae,NA,0.011688881,0.042541369,1.725160858,0.258765248,0.071099641,6.08267327,0.149994852,0.018055556,-0.364641013,0.262723576
Araneidae,BE,Aran,FBF,PAIR,MOL_PAIR,3,MOL_FBF,Arachnida,Web,Araneidae,NA,0.017791425,0.025443647,0.730170431,0.122460855,0.085630534,4.81302289,0.16771544,0.032222222,-0.117135283,0.423125486
Araneidae,BE,Aran,FBF,PAIR,MOZ_PAIR,10,MOZ_FBF,Arachnida,Web,Araneidae,NA,0.010378597,0.013278216,1.190175681,0.143771196,0.112375281,10.8275987,0.120798298,0.021388889,-0.068125086,0.538674046
Araneidae,BE,Aran,FBF,PAIR,SLI_PAIR,5,SLI_FBF,Arachnida,Web,Araneidae,NA,0.003356983,0.037587693,2.509476806,0.502535218,0.044881775,13.36967453,0.200254976,0.008611111,0.186588335,1.186925008
Araneidae,BE,Aran,FBF,PAIR,WUR_PAIR,7,WUR_FBF,Arachnida,Web,Araneidae,NA,0.005638116,0.016781341,0.878519826,0.155977441,0.052404567,9.294694957,0.177545727,0.057777778,-0.033408378,0.715621529
Araneidae,BE,Aran,UBF,PAIR,WUR_PAIR,28,WUR_UBF,Arachnida,Web,Araneidae,NA,0.012762517,0.012182823,0.517350491,0.087667013,0.091838466,7.195952318,0.169453811,0.171666667,-0.743787356,0.375729004
Linyphiidae,BE,Liny,FBF,PAIR,ZIJ_PAIR,9,ZIJ_FBF,Arachnida,Web,Linyphiidae,NA,0.001775918,0.02355499,1.292014914,0.237733767,0.017923834,10.09271349,0.18400234,0.015555556,0.008492095,0.739899609
